report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2024-06-30,2024中报,2024-2,2024二季度,parent_holder_net_profit,89519000000.0,,72.1221327078,16.347596882689,
2024-06-30,2024中报,2024-2,2024二季度,basic_eps,9.59,,,,
2024-06-30,2024中报,2024-2,2024二季度,assets_debt_ratio,43.9508269032,,,,
2024-06-30,2024中报,2024-2,2024二季度,index_weighted_avg_roe,10.725513876708,,,,
2024-06-30,2024中报,2024-2,2024二季度,inventory_turnover_days,3.282811743883118,,,,
2024-06-30,2024中报,2024-2,2024二季度,fcf_to_net_profit_ratio,1.0661758956199243,,,,
2024-06-30,2024中报,2024-2,2024二季度,pe_ttm,24.06,,,,
2024-06-30,2024中报,2024-2,2024二季度,pb,3.72,,,,
2024-03-31,2024一季报,2024-1,2024一季度,operating_income_total,159501000000.0,,6.343925433,1.562358890996,
2024-03-31,2024一季报,2024-1,2024一季度,parent_holder_net_profit,41889000000.0,,62.1216812447,13.931224829885,
2024-03-31,2024一季报,2024-1,2024一季度,basic_eps,4.479,,,,
2024-03-31,2024一季报,2024-1,2024一季度,assets_debt_ratio,44.3261186013,,,,
2024-03-31,2024一季报,2024-1,2024一季度,index_weighted_avg_roe,5.055461754863,,,,
2024-03-31,2024一季报,2024-1,2024一季度,inventory_turnover_days,0.9090253996377148,,,,
2024-03-31,2024一季报,2024-1,2024一季度,pe_ttm,22.61,,,,
2024-03-31,2024一季报,2024-1,2024一季度,pb,3.22,,,,
2023-12-31,2023年报,2023-4,2023四季度,operating_income_total,609015000000.0,,9.8210808004,1.710497968345,
2023-12-31,2023年报,2023-4,2023四季度,parent_holder_net_profit,115216000000.0,,-38.7940056204,-40.750492391712,
2023-12-31,2023年报,2023-4,2023四季度,basic_eps,12.186,,,,
2023-12-31,2023年报,2023-4,2023四季度,assets_debt_ratio,44.6071823926,,,,
2023-12-31,2023年报,2023-4,2023四季度,index_weighted_avg_roe,15.061092222,,,,
2023-12-31,2023年报,2023-4,2023四季度,inventory_turnover_days,1.2316638493729146,,,,
2023-12-31,2023年报,2023-4,2023四季度,fcf_to_net_profit_ratio,3.0300479100124984,,,,
2023-12-31,2023年报,2023-4,2023四季度,pe_ttm,13.14,,,,
2023-12-31,2023年报,2023-4,2023四季度,pb,3.32,,,,
2022-12-31,2022年报,2022-4,2022四季度,operating_income_total,554552000000.0,,-0.9937191806,0.138320578707,
2022-12-31,2022年报,2022-4,2022四季度,parent_holder_net_profit,188243000000.0,,-16.2702048732,6.392250173795,
2022-12-31,2022年报,2022-4,2022四季度,basic_eps,19.757,,,,
2022-12-31,2022年报,2022-4,2022四季度,assets_debt_ratio,50.393218307,,,,
2022-12-31,2022年报,2022-4,2022四季度,index_weighted_avg_roe,24.644135917627,,,,
2022-12-31,2022年报,2022-4,2022四季度,inventory_turnover_days,3.043149908488122,,,,
2022-12-31,2022年报,2022-4,2022四季度,fcf_to_net_profit_ratio,1.0118942005811637,,,,
2022-12-31,2022年报,2022-4,2022四季度,pe_ttm,15.68,,,,
2022-12-31,2022年报,2022-4,2022四季度,pb,3.67,,,,
2021-12-31,2021年报,2021-4,2021四季度,operating_income_total,560118000000.0,,16.1916260082,1.91394089145,
2021-12-31,2021年报,2021-4,2021四季度,parent_holder_net_profit,224822000000.0,,40.6482448842,18.849053212522,
2021-12-31,2021年报,2021-4,2021四季度,basic_eps,23.597,,,,
2021-12-31,2021年报,2021-4,2021四季度,assets_debt_ratio,45.6268559705,,,,
2021-12-31,2021年报,2021-4,2021四季度,index_weighted_avg_roe,29.772168527356,,,,
2021-12-31,2021年报,2021-4,2021四季度,inventory_turnover_days,2.2062137541617064,,,,
2021-12-31,2021年报,2021-4,2021四季度,fcf_to_net_profit_ratio,1.0054265151986905,,,,
2021-12-31,2021年报,2021-4,2021四季度,pe_ttm,18.19,,,,
2021-12-31,2021年报,2021-4,2021四季度,pb,4.02,,,,
2020-12-31,2020年报,2020-4,2020四季度,operating_income_total,482064000000.0,,27.7704889355,6.14362276016,
2020-12-31,2020年报,2020-4,2020四季度,parent_holder_net_profit,159847000000.0,,71.3074697246,30.885881090995,
2020-12-31,2020年报,2020-4,2020四季度,basic_eps,16.844,,,,
2020-12-31,2020年报,2020-4,2020四季度,assets_debt_ratio,41.6507865084,,,,
2020-12-31,2020年报,2020-4,2020四季度,index_weighted_avg_roe,28.124994501579,,,,
2020-12-31,2020年报,2020-4,2020四季度,inventory_turnover_days,1.3893648381005022,,,,
2020-12-31,2020年报,2020-4,2020四季度,fcf_to_net_profit_ratio,1.595525721471157,,,,
2020-12-31,2020年报,2020-4,2020四季度,pe_ttm,39.46,,,,
2020-12-31,2020年报,2020-4,2020四季度,pb,8.35,,,,
2019-12-31,2019年报,2019-4,2019四季度,operating_income_total,377289000000.0,,20.657575777,5.855764860361,
2019-12-31,2019年报,2019-4,2019四季度,parent_holder_net_profit,93310000000.0,,18.5355505024,8.554277138569,
2019-12-31,2019年报,2019-4,2019四季度,basic_eps,9.856,,,,
2019-12-31,2019年报,2019-4,2019四季度,assets_debt_ratio,48.75983505,,,,
2019-12-31,2019年报,2019-4,2019四季度,index_weighted_avg_roe,24.678134289674,,,,
2019-12-31,2019年报,2019-4,2019四季度,inventory_turnover_days,0.9831661549610022,,,,
2019-12-31,2019年报,2019-4,2019四季度,fcf_to_net_profit_ratio,1.963390847711928,,,,
2019-12-31,2019年报,2019-4,2019四季度,pe_ttm,37.87,,,,
2019-12-31,2019年报,2019-4,2019四季度,pb,8.06,,,,
2018-12-31,2018年报,2018-4,2018四季度,operating_income_total,312694000000.0,,31.5166554509,6.289812706074,
2018-12-31,2018年报,2018-4,2018四季度,parent_holder_net_profit,78719000000.0,,10.0811075374,-7.701056432985,
2018-12-31,2018年报,2018-4,2018四季度,basic_eps,8.336,,,,
2018-12-31,2018年报,2018-4,2018四季度,assets_debt_ratio,50.7675658343,,,,
2018-12-31,2018年报,2018-4,2018四季度,index_weighted_avg_roe,27.163965878975,,,,
2018-12-31,2018年报,2018-4,2018四季度,inventory_turnover_days,0.8345351577614408,,,,
2018-12-31,2018年报,2018-4,2018四季度,fcf_to_net_profit_ratio,1.4450132750670106,,,,
2018-12-31,2018年报,2018-4,2018四季度,pe_ttm,30.51,,,,
2018-12-31,2018年报,2018-4,2018四季度,pb,8.28,,,,
2017-12-31,2017年报,2017-4,2017四季度,operating_income_total,237760000000.0,,56.4848819913,10.466845078799,
2017-12-31,2017年报,2017-4,2017四季度,parent_holder_net_profit,71510000000.0,,74.0114369145,16.766271513014,
2017-12-31,2017年报,2017-4,2017四季度,basic_eps,7.598,,,,
2017-12-31,2017年报,2017-4,2017四季度,assets_debt_ratio,50.0438096749,,,,
2017-12-31,2017年报,2017-4,2017四季度,index_weighted_avg_roe,33.206562370849,,,,
2017-12-31,2017年报,2017-4,2017四季度,inventory_turnover_days,0.9167666652873754,,,,
2017-12-31,2017年报,2017-4,2017四季度,fcf_to_net_profit_ratio,2.0734442735281777,,,,
2017-12-31,2017年报,2017-4,2017四季度,pe_ttm,53.48,,,,
2017-12-31,2017年报,2017-4,2017四季度,pb,14.05,,,,
