report_date,registered_members_mn,repeat_purchase_rate,source_note
2024-12-31,46.08,49.4,"2024年报：内地注册会员4608万人，会员复购率49.4%"
2025-12-31,72.58,55.7,"2025年报：内地注册会员7258万人，会员复购率55.7%"
