report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2024-03-31,2024一季报,2024-1,2024一季度,parent_holder_net_profit,4182061000.0,,-0.5180502869,-0.124622514467,
2024-03-31,2024一季报,2024-1,2024一季度,basic_eps,0.17,,,,
2024-03-31,2024一季报,2024-1,2024一季度,assets_debt_ratio,48.7436128425,,,,
2024-03-31,2024一季报,2024-1,2024一季度,index_weighted_avg_roe,2.524395273016,,,,
2024-03-31,2024一季报,2024-1,2024一季度,inventory_turnover_days,74.70600280978415,,,,
2024-03-31,2024一季报,2024-1,2024一季度,pe_ttm,19.33,,,,
2024-03-31,2024一季报,2024-1,2024一季度,pb,2.06,,,,
2023-12-31,2023年报,2023-4,2023四季度,operating_income_total,270970141000.0,,-3.2401602897,2.728215766612,
2023-12-31,2023年报,2023-4,2023四季度,parent_holder_net_profit,17475173000.0,,606.3444258962,9.913972333402,
2023-12-31,2023年报,2023-4,2023四季度,basic_eps,0.7,,,,
2023-12-31,2023年报,2023-4,2023四季度,assets_debt_ratio,49.3406120626,,,,
2023-12-31,2023年报,2023-4,2023四季度,index_weighted_avg_roe,11.360278761514,,,,
2023-12-31,2023年报,2023-4,2023四季度,inventory_turnover_days,69.4674848371079,,,,
2023-12-31,2023年报,2023-4,2023四季度,fcf_to_net_profit_ratio,4.00929879206346,,,,
2023-12-31,2023年报,2023-4,2023四季度,pe_ttm,22.58,,,,
2023-12-31,2023年报,2023-4,2023四季度,pb,2.25,,,,
2022-12-31,2022年报,2022-4,2022四季度,operating_income_total,280044016000.0,,-14.7011223218,-6.518570179908,
2022-12-31,2022年报,2022-4,2022四季度,parent_holder_net_profit,2474030000.0,,-87.2072551048,36.803968483491,
2022-12-31,2022年报,2022-4,2022四季度,basic_eps,0.1,,,,
2022-12-31,2022年报,2022-4,2022四季度,assets_debt_ratio,47.3786963518,,,,
2022-12-31,2022年报,2022-4,2022四季度,index_weighted_avg_roe,1.761681906455,,,,
2022-12-31,2022年报,2022-4,2022四季度,inventory_turnover_days,81.20275540949658,,,,
2022-12-31,2022年报,2022-4,2022四季度,fcf_to_net_profit_ratio,-8.23700601852039,,,,
2022-12-31,2022年报,2022-4,2022四季度,pe_ttm,139.99,,,,
2022-12-31,2022年报,2022-4,2022四季度,pb,1.79,,,,
2021-12-31,2021年报,2021-4,2021四季度,operating_income_total,328309145000.0,,33.5319381542,4.825170630222,
2021-12-31,2021年报,2021-4,2021四季度,parent_holder_net_profit,19339321000.0,,-4.992178037,-24.652642916922,
2021-12-31,2021年报,2021-4,2021四季度,basic_eps,0.78,,,,
2021-12-31,2021年报,2021-4,2021四季度,assets_debt_ratio,53.0773947396,,,,
2021-12-31,2021年报,2021-4,2021四季度,index_weighted_avg_roe,14.824821679458,,,,
2021-12-31,2021年报,2021-4,2021四季度,inventory_turnover_days,74.73040507612485,,,,
2021-12-31,2021年报,2021-4,2021四季度,fcf_to_net_profit_ratio,0.2705343171045147,,,,
2021-12-31,2021年报,2021-4,2021四季度,pe_ttm,15.05,,,,
2021-12-31,2021年报,2021-4,2021四季度,pb,2.85,,,,
2020-12-31,2020年报,2020-4,2020四季度,operating_income_total,245865633000.0,,19.4457866768,6.034851752325,
2020-12-31,2020年报,2020-4,2020四季度,parent_holder_net_profit,20355504000.0,,102.6600123216,45.568800204528,
2020-12-31,2020年报,2020-4,2020四季度,basic_eps,0.85,,,,
2020-12-31,2020年报,2020-4,2020四季度,assets_debt_ratio,51.1141589688,,,,
2020-12-31,2020年报,2020-4,2020四季度,index_weighted_avg_roe,19.856871158436,,,,
2020-12-31,2020年报,2020-4,2020四季度,inventory_turnover_days,67.09291469379126,,,,
2020-12-31,2020年报,2020-4,2020四季度,fcf_to_net_profit_ratio,1.8523714274036152,,,,
2020-12-31,2020年报,2020-4,2020四季度,pe_ttm,52.15,,,,
2020-12-31,2020年报,2020-4,2020四季度,pb,7.74,,,,
2019-12-31,2019年报,2019-4,2019四季度,operating_income_total,205838682000.0,,17.6789765682,6.217207923281,
2019-12-31,2019年报,2019-4,2019四季度,parent_holder_net_profit,10044164000.0,,-25.8945810818,-8.78793550348,
2019-12-31,2019年报,2019-4,2019四季度,basic_eps,0.423,,,,
2019-12-31,2019年报,2019-4,2019四季度,assets_debt_ratio,55.5312156851,,,,
2019-12-31,2019年报,2019-4,2019四季度,index_weighted_avg_roe,13.159423292581,,,,
2019-12-31,2019年报,2019-4,2019四季度,inventory_turnover_days,60.55716726212431,,,,
2019-12-31,2019年报,2019-4,2019四季度,fcf_to_net_profit_ratio,4.0630939518709575,,,,
2019-12-31,2019年报,2019-4,2019四季度,pe_ttm,21.25,,,,
2019-12-31,2019年报,2019-4,2019四季度,pb,2.93,,,,
2018-12-31,2018年报,2018-4,2018四季度,operating_income_total,174915425000.0,,52.5983151177,5.620084702495,
2018-12-31,2018年报,2018-4,2018四季度,parent_holder_net_profit,13553886000.0,,130.9265756668,569.840747120321,
2018-12-31,2018年报,2018-4,2018四季度,basic_eps,0.843,,,,
2018-12-31,2018年报,2018-4,2018四季度,assets_debt_ratio,50.9391071071,,,,
2018-12-31,2018年报,2018-4,2018四季度,index_weighted_avg_roe,-48.450534997924,,,,
2018-12-31,2018年报,2018-4,2018四季度,inventory_turnover_days,66.94069687814748,,,,
2018-12-31,2018年报,2018-4,2018四季度,fcf_to_net_profit_ratio,-0.7672825343226289,,,,
2018-12-31,2018年报,2018-4,2018四季度,pe_ttm,-89.12,,,,
2018-12-31,2018年报,2018-4,2018四季度,pb,3.82,,,,
2017-12-31,2017年报,2017-4,2017四季度,operating_income_total,114624742000.0,,67.4963794763,67.496379476326,
2017-12-31,2017年报,2017-4,2017四季度,parent_holder_net_profit,-43826016000.0,,-8021.5573429733,-8021.55734297334,
2017-12-31,2017年报,2017-4,2017四季度,basic_eps,-4.491,,,,
2017-12-31,2017年报,2017-4,2017四季度,assets_debt_ratio,241.5500492986,,,,
2017-12-31,2017年报,2017-4,2017四季度,index_weighted_avg_roe,39.939133351652,,,,
2017-12-31,2017年报,2017-4,2017四季度,inventory_turnover_days,45.3564634420341,,,,
2017-12-31,2017年报,2017-4,2017四季度,fcf_to_net_profit_ratio,0.10101191949548871,,,,
